,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
251,251,661,137,1046,1079,394,398,243,1091,396,1349,238,494,1416,227,328,1310,1090,1077,558
252,252,227,527,104,351,1050,205,56,332,978,1365,392,481,459,1023,1254,427,26,893,569
253,253,1077,494,821,13,1165,777,848,299,1486,1028,937,1320,1400,132,1230,1018,764,972,26
254,254,1361,238,214,328,566,297,421,1451,852,36,227,205,1077,1074,620,648,805,177,1416
255,255,1361,1484,1046,1454,1128,1173,1482,181,1490,1355,1312,1214,788,238,137,322,1386,984,1407
256,256,952,1037,366,1261,1300,184,684,1143,812,936,879,537,73,1268,218,699,1144,39,344
257,257,1062,651,871,939,937,758,477,910,797,181,351,540,1305,499,1454,1077,508,1046,13
258,258,27,684,604,865,1143,42,1104,94,990,1177,39,1334,591,115,836,114,606,350,73
259,259,516,911,775,670,840,922,51,55,134,533,837,1489,604,2,731,33,884,701,537
260,260,306,83,1134,1419,536,29,674,1011,879,685,989,962,341,1225,289,9,1066,796,504
261,261,579,1028,880,1157,1230,597,463,955,1293,1090,415,319,666,724,214,464,318,1079,651
262,262,906,86,504,472,565,562,97,390,79,32,454,870,98,845,27,312,1032,751,911
263,263,561,271,604,23,454,317,96,951,747,697,629,591,39,1149,114,1034,952,963,1261
264,264,1090,505,1161,465,1354,494,1077,867,724,1247,261,777,318,1028,758,1400,459,228,449
265,265,891,1374,364,2,1489,211,59,224,349,42,794,1095,892,918,82,457,844,236,916
266,266,13,376,1077,874,362,304,214,832,777,133,498,1091,415,983,1286,179,672,1373,1308
267,267,580,663,1158,646,559,457,120,387,358,1152,178,289,300,225,578,1428,1027,105,212
268,268,812,344,42,537,39,809,23,629,76,535,73,27,269,914,125,184,88,2,591
269,269,125,809,1188,268,344,27,39,812,271,629,537,62,96,742,591,990,678,912,42
270,270,224,1163,222,211,1411,627,892,364,212,794,2,670,236,1177,287,42,120,77,993
271,271,812,839,561,1188,269,263,834,591,952,629,1334,268,1261,39,879,1457,537,344,963
272,272,542,937,181,50,498,1077,215,415,875,833,1320,1333,1122,422,1003,657,36,494,958
273,144,530,524,702,425,650,468,506,1198,851,716,65,175,180,466,500,513,87,101,872
274,274,537,277,23,125,760,908,604,774,697,591,51,732,17,11,963,914,637,2,756
275,275,1340,1059,253,1445,1486,494,13,303,228,214,465,463,26,1091,574,508,667,929,1077
276,276,692,1128,1343,832,214,413,874,557,1068,1091,181,1284,1459,560,1095,629,145,575,761
277,277,282,96,990,585,33,73,42,358,606,732,877,914,783,39,11,538,954,909,125
278,278,720,714,13,373,1018,557,198,721,327,651,788,253,22,949,275,667,970,508,4
279,279,42,33,728,73,1105,606,358,12,911,935,701,845,72,909,670,277,55,27,1047
280,280,647,613,1071,845,163,1017,1334,48,751,1191,1113,395,284,809,224,42,1000,450,870
281,281,1049,767,1367,937,556,874,541,217,1110,828,1122,334,1043,895,849,1232,575,739,1018
282,282,33,277,386,240,224,877,358,17,211,42,538,990,73,606,674,27,12,1104,125
283,283,179,451,362,113,887,548,1060,820,574,1253,1367,1286,1420,324,1479,363,746,13,490
284,284,236,916,42,1191,909,73,1221,956,1104,2,674,27,1300,1105,349,879,990,670,794
285,285,284,42,501,649,345,1105,728,1047,916,1159,701,401,611,674,670,1245,279,775,678
286,286,289,817,600,358,343,606,962,879,760,909,603,105,359,1221,12,916,868,284,86
287,287,42,1335,916,224,1103,794,41,670,81,703,1027,482,918,991,2,627,236,77,701
288,288,879,1264,284,956,603,877,445,1146,855,62,277,963,1099,990,1191,591,865,1053,909
289,289,817,178,493,1225,438,1080,358,212,909,286,1027,760,580,329,1428,236,1142,120,572
290,290,42,916,27,349,2,88,909,62,1104,670,703,236,572,1047,73,358,224,674,918
291,291,42,41,73,2,881,236,1335,670,224,82,909,287,1104,627,756,794,77,916,1177
292,292,121,494,205,821,323,465,1077,304,388,1022,574,13,511,253,311,1234,867,467,451
293,293,1385,1077,253,1028,666,1379,827,657,352,13,228,1090,373,1236,299,1286,848,841,451
294,294,800,305,604,1149,277,748,27,300,1032,1045,282,697,783,537,914,1118,870,865,1370
295,295,1018,827,297,394,595,1320,1043,1074,995,1035,1488,250,1028,304,651,496,1416,214,666
